31536,2000-2010,서울특별시,금천구,20221214193250018943
31537,1990-2000,서울특별시,강남구,20221226172437040451
31538,1990-2000,경상남도,김해시,20221225095750054222
31539,1990-2000,경상남도,김해시,20221224114218059633
31540,2000-2010,서울특별시,노원구,20221228070511072676
31541,2000-2010,서울특별시,노원구,20221217122704078109
31542,2000-2010,서울특별시,송파구,20221216173755091483
31543,2000-2010,서울특별시,금천구,20221217154800112443
31544,2000-2010,서울특별시,금천구,20221217155051117957
31545,2000-2010,서울특별시,금천구,20221217155204124094
31546,2000-2010,서울특별시,금천구,20221217155518130348
31547,2000-2010,서울특별시,금천구,20221217155548136369
31548,2000-2010,서울특별시,강남구,20221219151102159061
31549,2000-2010,서울특별시,금천구,20221218122703164920
31550,2000-2010,서울특별시,금천구,20221218122705170392
31551,2000-2010,서울특별시,금천구,20221219215320177097
31552,2000-2010,서울특별시,금천구,20221219214731182694
31553,2000-2010,서울특별시,금천구,20221219214833189191
31554,1970-1980,경기도,양주시,20221216033043210035
31555,1990-2000,부산광역시,수영구,20221215053608222935
31556,2000-2010,서울특별시,금천구,20221221133053228890
31557,1990-2000,대구광역시,수성구,20221226211727243750
31558,1990-2000,대구광역시,수성구,20221226213135249236
31559,1990-2000,대구광역시,수성구,20221226213135254167
31560,1980-1990,충청남도,서산시,20221212130809271163
31561,2000-2010,서울특별시,중구,20221215140632284580
31562,2010-2020,경상북도,구미시,20221203030722337430
31563,1990-2000,충청북도,청주시청원구,20221213062722350820
31564,1990-2000,서울특별시,강동구,20221209171358364869
31565,2000-2010,광주광역시,동구,20221204111946378309
31566,1990-2000,경상남도,김해시,20221220220241399842
31567,1990-2000,경상남도,김해시,20221220234754420922
31568,1990-2000,경상남도,김해시,20221220223601426341
31569,1990-2000,경상북도,포항시남구,20221223131855449850
31570,1990-2000,서울특별시,강남구,20221216150215463347
31571,1990-2000,서울특별시,강남구,20221210125924468749
31572,1990-2000,경상북도,구미시,20221207235758484587
31573,1990-2000,경기도,의정부시,20221202131948517621
31574,1990-2000,서울특별시,강남구,20221220165120531711
31575,1990-2000,경기도,화성시,20221213172226547844
31576,1990-2000,경기도,화성시,20221213173406557590
31577,2000-2010,서울특별시,금천구,20221215021112563524
31578,1990-2000,Vienna,Vienna,20221226173753859494
31579,1990-2000,Vienna,Vienna,20221226175001254703
31580,2000-2010,전라남도,화순군,20221214172108278080
31581,1990-2000,서울특별시,강남구,20221204003044283731
31582,1990-2000,경상남도,창원시진해구,20221203215008289546
31583,1990-2000,경기도,부천시,20221205135055304908
31584,1990-2000,경상남도,창원시진해구,20221225233032310013
31585,2000-2010,부산광역시,사상구,20221222141018326597
31586,2000-2010,경상북도,구미시,20221221181133340204
31587,1990-2000,서울특별시,중구,20221201005401347063
31588,1990-2000,서울특별시,중구,20221207160804363082
31589,2000-2010,대구광역시,북구,20221216205537396320
31590,2000-2010,경기도,의정부시,20221229034037425255
31591,2000-2010,경기도,의정부시,20221229034230430824
31592,2000-2010,경기도,의정부시,20221231103852436382
31593,2000-2010,서울특별시,중구,20221211155039462304
31594,2000-2010,서울특별시,중구,20221203145842468061
31595,2000-2010,서울특별시,중구,20221206220412482656
31596,1990-2000,서울특별시,중구,20221226192600495502
31597,1990-2000,경기도,양평군,20221215110150508658
31598,2000-2010,충청남도,천안시서북구,20221230203202522043
31599,2000-2010,경기도,부천시,20221225143055535041
31600,2000-2010,부산광역시,강서구,20221213120042550990
31601,2000-2010,서울특별시,구로구,20221213122043563752
31602,2000-2010,서울특별시,송파구,20221231144137576889
31603,2000-2010,경상북도,구미시,20221208144059590290
31604,2000-2010,경기도,고양시덕양구,20221226202333603766
31605,1990-2000,광주광역시,북구,20221201082648626416
