"행정구역(시군구)별(1)","연령별(1)",2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별(1)","연령별(1)",한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자
"행정구역(시군구)별(1)","연령별(1)",소계,외국인근로자,결혼이민자,유학생,외국국적동포,기타외국인,소계
"충청남도","70세 이상",1518,8,61,*,1284,165,219
"전라북도","계",41047,9464,5903,8593,2543,14544,6272
"전라북도","0 - 9세",678,*,*,*,*,676,97
"전라북도","10 - 19세",917,*,*,490,11,409,172
"전라북도","20 - 29세",15268,3710,1390,7146,94,2928,619
"전라북도","30 - 39세",11895,4051,2301,829,331,4383,2746
"전라북도","40 - 49세",6030,1171,1189,124,379,3167,1549
"전라북도","50 - 59세",4021,491,798,*,559,2169,729
"전라북도","60 - 69세",1702,36,189,*,779,698,279
"전라북도","70세 이상",536,*,33,*,388,114,81
"전라남도","계",44159,17007,6685,2795,2671,15001,6769
"전라남도","0 - 9세",492,*,*,*,*,488,92
"전라남도","10 - 19세",560,5,6,222,11,316,169
"전라남도","20 - 29세",13696,6916,1626,2243,80,2831,685
"전라남도","30 - 39세",15409,7377,2647,295,303,4787,3116
"전라남도","40 - 49세",7312,2164,1244,35,422,3447,1655
"전라남도","50 - 59세",4541,506,900,*,782,2353,771
"전라남도","60 - 69세",1725,37,233,*,762,693,208
"전라남도","70세 이상",424,*,29,*,307,86,73
"경상북도","계",72798,21253,7924,10268,6964,26389,8377
"경상북도","0 - 9세",1937,*,*,*,24,1913,145
"경상북도","10 - 19세",1439,33,12,531,60,803,188
"경상북도","20 - 29세",23740,7095,1854,8828,544,5419,887
"경상북도","30 - 39세",24158,9702,3547,842,1510,8557,4094
"경상북도","40 - 49세",11937,3338,1439,63,1513,5584,1893
"경상북도","50 - 59세",6433,992,803,*,1473,3161,806
"경상북도","60 - 69세",2424,82,220,*,1298,824,278
"경상북도","70세 이상",730,11,49,*,542,128,86
"경상남도","계",91836,33341,10525,3950,10349,33671,10721
"경상남도","0 - 9세",2671,*,*,*,37,2634,186
"경상남도","10 - 19세",1693,21,6,357,83,1226,254
"경상남도","20 - 29세",23158,11192,2087,3156,685,6038,983
"경상남도","30 - 39세",33773,15903,4811,386,1981,10692,5341
"경상남도","40 - 49세",16393,4839,2108,40,2275,7131,2364
"경상남도","50 - 59세",9651,1285,1157,6,2695,4508,1081
"경상남도","60 - 69세",3576,95,293,5,1886,1297,371
"경상남도","70세 이상",921,6,63,*,707,145,141
"제주특별자치도","계",25210,8476,2929,2037,2207,9561,2468
"제주특별자치도","0 - 9세",1155,*,*,*,*,1153,81
"제주특별자치도","10 - 19세",661,14,*,53,12,581,94
"제주특별자치도","20 - 29세",6655,2751,602,1826,118,1358,283
"제주특별자치도","30 - 39세",8309,3639,1271,151,443,2805,973
"제주특별자치도","40 - 49세",4749,1692,708,5,358,1986,556
"제주특별자치도","50 - 59세",2242,327,233,*,445,1236,300
"제주특별자치도","60 - 69세",1078,50,79,*,599,349,135
"제주특별자치도","70세 이상",361,*,35,*,230,93,46
